Electorate,StateAb,DivisionID,DivisionNm,Winner,RunnerUp,WinnerShare,RunnerUpShare,Margin
ACT.1,ACT,318,Bean,ALP,IND,0.5034079844206426,0.49659201557935734,0.006815968841285269
ACT.2,ACT,101,Canberra,ALP,GRN,0.695209035918848,0.30479096408115197,0.390418071837696
ACT.3,ACT,102,Fenner,ALP,LP,0.7208130425576964,0.2791869574423036,0.4416260851153928
NSW.1,NSW,103,Banks,ALP,LP,0.5238793147015718,0.47612068529842827,0.047758629403143515
NSW.2,NSW,104,Barton,ALP,LP,0.6600334163740232,0.3399665836259767,0.32006683274804654
NSW.3,NSW,105,Bennelong,ALP,LP,0.5926128291989946,0.40738717080100534,0.18522565839798927
NSW.4,NSW,106,Berowra,ALP,LP,0.4836546448843971,0.516345355115603,-0.0326907102312059
NSW.5,NSW,107,Blaxland,ALP,LP,0.7190341366848514,0.2809658633151486,0.4380682733697028
NSW.6,NSW,108,Bradfield,IND,LP,0.5001158624623447,0.4998841375376553,0.00023172492468942485
NSW.7,NSW,109,Calare,IND,LP,0.5677962114297007,0.43220378857029934,0.13559242285940137
NSW.8,NSW,111,Chifley,ALP,LP,0.6983246471469792,0.3016753528530208,0.3966492942939584
NSW.9,NSW,112,Cook,ALP,LP,0.4280583656124253,0.5719416343875747,-0.14388326877514945
NSW.10,NSW,113,Cowper,IND,LP,0.4745533020838168,0.5254466979161833,-0.05089339583236646
NSW.11,NSW,114,Cunningham,ALP,LP,0.6752169319500494,0.32478306804995066,0.35043386390009873
NSW.12,NSW,115,Dobell,ALP,LP,0.5942838910535934,0.40571610894640664,0.18856778210718672
NSW.13,NSW,117,Eden-Monaro,ALP,LP,0.5721462722247124,0.42785372777528763,0.14429254444942474
NSW.14,NSW,118,Farrer,LP,IND,0.5619475466462261,0.4380524533537739,0.12389509329245224
NSW.15,NSW,119,Fowler,IND,ALP,0.5267597753340937,0.4732402246659063,0.053519550668187366
NSW.16,NSW,120,Gilmore,ALP,LP,0.5512953274562596,0.44870467254374036,0.10259065491251929
NSW.17,NSW,121,Grayndler,ALP,GRN,0.6686448168257003,0.3313551831742997,0.33728963365140063
NSW.18,NSW,122,Greenway,ALP,LP,0.637613741423775,0.36238625857622503,0.27522748284755
NSW.19,NSW,124,Hughes,ALP,LP,0.5305661529070654,0.4694338470929345,0.06113230581413093
NSW.20,NSW,125,Hume,LP,ALP,0.5805644082962188,0.41943559170378114,0.16112881659243766
NSW.21,NSW,126,Hunter,ALP,Others,0.5903538935453829,0.4096461064546171,0.18070778709076585
NSW.22,NSW,127,Kingsford Smith,ALP,LP,0.6718718476374934,0.32812815236250653,0.3437436952749869
NSW.23,NSW,128,Lindsay,LP,ALP,0.5278258920383918,0.4721741079616082,0.05565178407678362
NSW.24,NSW,130,Lyne,LP,ALP,0.5977960676726108,0.4022039323273891,0.19559213534522174
NSW.25,NSW,131,Macarthur,ALP,LP,0.6560575607252822,0.34394243927471774,0.31211512145056447
NSW.26,NSW,132,Mackellar,IND,LP,0.5566085813656155,0.44339141863438447,0.11321716273123106
NSW.27,NSW,133,Macquarie,ALP,LP,0.5770566519301764,0.42294334806982364,0.15411330386035277
NSW.28,NSW,315,McMahon,ALP,LP,0.5901977819798641,0.40980221802013594,0.1803955639597281
NSW.29,NSW,134,Mitchell,LP,ALP,0.5380865882267031,0.4619134117732969,0.07617317645340616
NSW.30,NSW,135,New England,LP,ALP,0.6705962604726007,0.3294037395273993,0.34119252094520136
NSW.31,NSW,136,Newcastle,ALP,GRN,0.658045923928103,0.341954076071897,0.31609184785620603
NSW.32,NSW,138,Page,LP,ALP,0.5928583378255293,0.4071416621744707,0.18571667565105865
NSW.33,NSW,139,Parkes,LP,ALP,0.6296967212333273,0.3703032787666727,0.25939344246665463
NSW.34,NSW,140,Parramatta,ALP,LP,0.6254758720032925,0.3745241279967075,0.250951744006585
NSW.35,NSW,249,Paterson,ALP,LP,0.5688935089785104,0.43110649102148957,0.13778701795702086
NSW.36,NSW,144,Reid,ALP,LP,0.6200737030340753,0.37992629696592467,0.2401474060681506
NSW.37,NSW,145,Richmond,ALP,LP,0.6000362070279747,0.39996379297202533,0.20007241405594933
NSW.38,NSW,250,Riverina,LP,ALP,0.626208225856742,0.37379177414325804,0.2524164517134839
NSW.39,NSW,146,Robertson,ALP,LP,0.5936646856489558,0.4063353143510442,0.1873293712979116
NSW.40,NSW,148,Shortland,ALP,LP,0.6150701150701151,0.38492988492988495,0.23014023014023016
NSW.41,NSW,149,Sydney,ALP,GRN,0.7094611604770208,0.2905388395229792,0.4189223209540416
NSW.42,NSW,151,Warringah,IND,LP,0.6120196701336003,0.38798032986639974,0.22403934026720052
NSW.43,NSW,251,Watson,ALP,IND,0.6651737209358476,0.3348262790641524,0.3303474418716952
NSW.44,NSW,152,Wentworth,IND,LP,0.5834321884253516,0.41656781157464845,0.16686437685070316
NSW.45,NSW,153,Werriwa,ALP,LP,0.5677403154746958,0.43225968452530417,0.13548063094939167
NSW.46,NSW,150,Whitlam,ALP,LP,0.5624611218851769,0.43753887811482306,0.12492224377035388
NT.1,NT,306,Lingiari,LP,ALP,0.41874123422159887,0.5812587657784011,-0.1625175315568022
NT.2,NT,307,Solomon,LP,ALP,0.48689506070181277,0.5131049392981872,-0.02620987859637447
QLD.1,QLD,304,Blair,ALP,LP,0.5571126862927843,0.44288731370721574,0.11422537258556859
